,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
4,8.368670586328861617,-56.87679083,0.0000084199999,0.000002129999999999,0.000004,2199418.394313263128791708,BLO
1,4.954639494210094147,-5.83333333,0.00000598,0.000003,0.00000421,1219498.972702771173775929,KYT
8,3442.480584041877978226,28.61505721,0.0000871,0.000048,0.00008725,54549579.7284361,DAG
6,274.313665808288605981,-1.53146579,0.0001719,0.000149,0.00021103,1701239.497795671927665396,UPP
11,2.824045819575015566,-20.2247191,0.000089,0.000071,0.000071992,33017.09775288022524719,THRT
3,2.009886147448466472,-52.81630342,0.00010599,0.00004,0.000045,30552.120454001762128114,HUR
0,0.15088365000003416,0,0.000845,0.000845,0.000040000129999998,178.560532544419124552,TMT
2,0,0,N/A,N/A,0.00001009,0,TEN
5,0,0,N/A,N/A,0.00086874,0,FTM
7,0,0,N/A,N/A,0.000025001,0,MDT
9,0,0,N/A,N/A,0.000005029999999999,0,AUTO
10,0,0,N/A,N/A,0.021,0,DGX
12,0,0,N/A,N/A,0.000209123456,0,PSTOLD
13,0,0,N/A,N/A,0.000013993,0,TGAME
14,0,0,N/A,N/A,0.00003034,0,LIKE
