,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
4,5.540920524179635567,-2.49131054,0.000005849997,0.000002601,0.000004,1361073.112954795488221964,BLO
6,244.962616731792952364,2.6350898,0.0001719,0.00015003,0.00021103,1529118.998084844787828374,UPP
3,2.010179166640306675,-7.99640072,0.00008699,0.00004601,0.0000461,40560.708912585813374485,HUR
8,1489.618658506902470593,-10.99536507,0.000069910199999968,0.000055,0.00008725,24385182.65537488,DAG
12,12.602845993516999996,1233.29911111,0.11999694,0.009,0.00150015,120.65643869141004271,PSTOLD
11,1.354171316253199818,34.06562456,0.0000952,0.000071,0.000071992,16207.3227406700004,THRT
1,1.318719217527793709,-44.092827,0.00000474,0.00000201,0.00000421,407812.508300293364716001,KYT
7,0.765841279595993335,0,0.000067,0.000065,0.000064,11598.865839938359007821,MDT
0,0,0,N/A,N/A,0.00004000101,0,TMT
2,0,0,N/A,N/A,0.0000101,0,TEN
5,0,0,N/A,N/A,0.00086874,0,FTM
9,0,0,N/A,N/A,0.000005029999999999,0,AUTO
10,0,0,N/A,N/A,0.021,0,DGX
13,0,0,N/A,N/A,0.000013993,0,TGAME
14,0,0,N/A,N/A,0.00003034,0,LIKE
