,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
11,7.655175192290351305,-32.90108565,0.00013264,0.00006401,0.000071992,86113.103929288200514075,THRT
4,6.947844199808280856,99.66666667,0.00000849,0.000003,0.00000477,1496911.471535640631797641,BLO
14,4.329051826462449627,-98.95833333,0.0024,0.000022,0.00003034,90522.8236566832794869,LIKE
6,380.470560665443191642,-1.64242424,0.00017729031886872,0.0001524,0.00021103,2295966.274320609777423808,UPP
1,2.670397685152773968,-12.05882353,0.0000068,0.000003,0.00000421,589510.822008309676177422,KYT
8,1940.856765463612808897,-59.99426888,0.00015,0.000039,0.00008725,37885719.28425077,DAG
7,0.393437666888014888,483,0.0014575,0.00025,0.000025001,1242.111989598550691425,MDT
9,0.120499999999999999,0,0.00001205,0.00001205,0.00001003001,10000,AUTO
12,0.059999,0,0.119998,0.119998,0.00200002,0.5,PSTOLD
0,0,0,N/A,N/A,0.0000311000311,0,TMT
2,0,0,N/A,N/A,0.0000175,0,TEN
3,0,0,N/A,N/A,0.00000002,0,HUR
5,0,0,N/A,N/A,0.00086874,0,FTM
10,0,0,N/A,N/A,0.021,0,DGX
13,0,0,N/A,N/A,0.000013993,0,TGAME
