,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
4,7.201618879144491835,40.16666667,0.0000084199999,0.000002129999999999,0.000004,1733432.583040222857882534,BLO
11,6.053398822085700866,26.78062678,0.000089,0.00006401,0.000071992,68906.147284265843890449,THRT
1,4.082948034046712714,-6.17283951,0.00000598,0.000003,0.00000421,971109.343976319394541463,KYT
6,329.507753418747804872,-10.0591716,0.000173790149060087,0.000149,0.00021103,2039793.593566248942259415,UPP
8,3083.392293222092743286,-41.13219641,0.000106,0.000039,0.00008725,57267234.59894775,DAG
14,1.946548693346540861,-50.31796502,0.00005032,0.000022,0.00003034,48809.795074690431449063,LIKE
3,1.304460654003993325,-43.39088593,0.00010599,0.00006,0.00004,16343.590580335398862578,HUR
0,0.15088365000003416,0,0.000845,0.000845,0.00004,178.560532544419124552,TMT
12,0.059999,0,0.119998,0.119998,0.00200002,0.5,PSTOLD
2,0,0,N/A,N/A,0.00001002,0,TEN
5,0,0,N/A,N/A,0.00086874,0,FTM
7,0,0,N/A,N/A,0.000025001,0,MDT
9,0,0,N/A,N/A,0.00001003001,0,AUTO
10,0,0,N/A,N/A,0.021,0,DGX
13,0,0,N/A,N/A,0.000013993,0,TGAME
